Internship_ID,Company,Role,Sector,Location,Stipend(INR),Duration(Months),Required_Skills,Mode,Openings,Education_Requirement,Experience_Level
INT0021,Oracle,ML Engineer Intern,AI/ML,Pune,10000,2,"PyTorch, Machine Learning, Python, Deep Learning",Onsite,2,Bachelor,1-2 Years
INT0022,Infosys,AI Research Intern,AI/ML,Delhi,20000,5,"PyTorch, Python, NLP, Machine Learning",Remote,6,Bachelor,Fresher
INT0023,TCS,Cybersecurity Intern,Cybersecurity,Chennai,12000,1,"Network Security, Linux, Python",Onsite,10,Bachelor,Fresher
INT0024,IBM,Web Developer Intern,Web Development,Delhi,10000,2,"HTML/CSS/JS, React, Node.js",Onsite,9,Bachelor,2-4 Years
INT0025,Wipro,Data Analyst Intern,Data Science,Hyderabad,8000,3,"Statistics, Tableau, Excel, Python",Onsite,2,Bachelor,Fresher
INT0026,TCS,AI Research Intern,AI/ML,Bangalore,10000,1,"NLP, Deep Learning, TensorFlow, Machine Learning",Remote,5,Bachelor,Fresher
INT0027,Amazon,Web Developer Intern,Web Development,Bangalore,5000,1,"Bootstrap, REST APIs, SQL, Node.js",Onsite,3,Diploma,Fresher
INT0028,IBM,DevOps Intern,DevOps,Pune,12000,1,"DevOps, Docker",Hybrid,4,Bachelor,Fresher
INT0029,Infosys,DevOps Intern,DevOps,Kolkata,8000,4,"Linux, CI/CD, Python, Jenkins",Onsite,6,Diploma,1-2 Years
INT0030,TCS,Cybersecurity Intern,Cybersecurity,Pune,12000,1,"Wireshark, Cybersecurity",Hybrid,4,Diploma,Fresher
INT0031,IBM,AI Research Intern,AI/ML,Delhi,15000,3,"Python, Machine Learning",Onsite,2,Bachelor,Fresher
INT0032,Wipro,Cloud Intern,Cloud Computing,Bangalore,10000,5,"Cloud, Azure",Hybrid,5,Bachelor,Fresher
INT0033,Wipro,DevOps Intern,DevOps,Pune,12000,1,"Jenkins, DevOps, Kubernetes, CI/CD",Remote,1,Bachelor,Fresher
INT0034,Accenture,Business Analyst Intern,Business Analytics,Delhi,10000,6,"Communication, Excel, Business Analytics",Onsite,7,Bachelor,Fresher
INT0035,Infosys,Web Developer Intern,Web Development,Mumbai,5000,3,"REST APIs, Node.js, Bootstrap, SQL",Onsite,7,Bachelor,Fresher
INT0036,Infosys,UI/UX Intern,UI/UX,Mumbai,10000,5,"Design Thinking, Figma, UI/UX",Remote,10,Bachelor,2-4 Years
INT0037,Oracle,Cybersecurity Intern,Cybersecurity,Chennai,8000,1,"Network Security, Wireshark",Onsite,8,Bachelor,1-2 Years
INT0038,IBM,AI Research Intern,AI/ML,Chennai,10000,2,"NLP, TensorFlow, PyTorch, Machine Learning",Remote,1,Master,Fresher
INT0039,Oracle,ML Engineer Intern,AI/ML,Mumbai,10000,4,"PyTorch, Machine Learning",Onsite,8,Diploma,1-2 Years
INT0040,Infosys,UI/UX Intern,UI/UX,Delhi,12000,4,"HTML/CSS/JS, User Research, Figma",Onsite,4,Diploma,Fresher
INT0041,Amazon,Cybersecurity Intern,Cybersecurity,Chennai,12000,3,"Cybersecurity, Linux, Network Security",Onsite,9,Bachelor,Fresher
INT0042,Oracle,AI Research Intern,AI/ML,Pune,15000,5,"TensorFlow, NLP",Onsite,1,Master,Fresher
INT0043,HCL,Data Analyst Intern,Data Science,Pune,10000,4,"Pandas, Statistics, Python, Excel",Hybrid,7,Bachelor,Fresher
INT0044,Google,Data Analyst Intern,Data Science,Bangalore,8000,4,"Excel, Power BI, Pandas",Hybrid,10,Master,Fresher
INT0045,Accenture,Software Engineer Intern,Software Development,Remote,8000,3,"Git, Java, Linux, Data Structures",Onsite,4,Bachelor,Fresher
INT0046,Google,Cybersecurity Intern,Cybersecurity,Pune,8000,6,"Linux, Cybersecurity, Python",Remote,6,Bachelor,Fresher
INT0047,Wipro,Data Analyst Intern,Data Science,Pune,8000,2,"SQL, Python",Onsite,2,Bachelor,Fresher
INT0048,Microsoft,Web Developer Intern,Web Development,Kolkata,5000,5,"REST APIs, HTML/CSS/JS, React, Bootstrap",Onsite,5,Bachelor,Fresher
INT0049,Wipro,Business Analyst Intern,Business Analytics,Bangalore,10000,6,"Communication, SQL, Excel, Business Analytics",Remote,2,Bachelor,Fresher
INT0050,IBM,Software Engineer Intern,Software Development,Remote,15000,1,"Data Structures, C++, Python, Git",Onsite,6,Diploma,Fresher
INT0051,HCL,Cybersecurity Intern,Cybersecurity,Chennai,15000,5,"Penetration Testing, Python, Wireshark, Network Security",Onsite,4,Bachelor,Fresher
INT0052,Oracle,Business Analyst Intern,Business Analytics,Mumbai,12000,3,"Communication, Requirements Gathering, Business Analytics, Excel",Onsite,4,Diploma,Fresher
INT0053,HCL,Cybersecurity Intern,Cybersecurity,Pune,8000,6,"Cybersecurity, Penetration Testing, Network Security, Wireshark",Onsite,9,Bachelor,Fresher
INT0054,Accenture,ML Engineer Intern,AI/ML,Mumbai,10000,4,"Python, Deep Learning",Remote,5,Bachelor,Fresher
INT0055,Amazon,UI/UX Intern,UI/UX,Mumbai,10000,3,"Prototyping, User Research, Design Thinking",Onsite,4,Bachelor,Fresher
INT0056,TCS,AI Research Intern,AI/ML,Delhi,15000,6,"NLP, TensorFlow",Remote,9,Diploma,1-2 Years
INT0057,Amazon,AI Research Intern,AI/ML,Bangalore,20000,5,"Machine Learning, Deep Learning, Python",Onsite,1,Bachelor,Fresher
INT0058,HCL,ML Engineer Intern,AI/ML,Hyderabad,15000,4,"Python, PyTorch",Onsite,6,Diploma,Fresher
INT0059,TCS,Software Engineer Intern,Software Development,Hyderabad,8000,5,"Git, Linux",Remote,1,Bachelor,Fresher
INT0060,HCL,Software Engineer Intern,Software Development,Pune,15000,5,"Python, Algorithms",Remote,10,Diploma,Fresher
INT0061,Infosys,Cybersecurity Intern,Cybersecurity,Pune,15000,1,"Python, Linux, Cybersecurity, Penetration Testing",Hybrid,4,Bachelor,Fresher
INT0062,HCL,Web Developer Intern,Web Development,Bangalore,12000,6,"HTML/CSS/JS, React, SQL, REST APIs",Remote,5,Bachelor,Fresher
INT0063,Amazon,Software Engineer Intern,Software Development,Delhi,15000,1,"Java, C++, Algorithms, Linux",Remote,3,Diploma,Fresher
INT0064,Microsoft,Cybersecurity Intern,Cybersecurity,Delhi,8000,4,"Wireshark, Penetration Testing, Linux, Network Security",Remote,7,Bachelor,Fresher
INT0065,TCS,Business Analyst Intern,Business Analytics,Bangalore,10000,1,"Requirements Gathering, Business Analytics",Onsite,10,High School,Fresher
INT0066,Microsoft,Business Analyst Intern,Business Analytics,Kolkata,12000,3,"SQL, Requirements Gathering",Onsite,10,Bachelor,Fresher
INT0067,Accenture,ML Engineer Intern,AI/ML,Kolkata,20000,1,"TensorFlow, Deep Learning, PyTorch",Hybrid,6,Bachelor,Fresher
INT0068,Accenture,UI/UX Intern,UI/UX,Bangalore,10000,3,"User Research, UI/UX",Onsite,7,Bachelor,Fresher
INT0069,TCS,Data Analyst Intern,Data Science,Pune,12000,6,"Tableau, Excel",Onsite,1,Bachelor,Fresher
INT0070,Microsoft,ML Engineer Intern,AI/ML,Bangalore,20000,2,"TensorFlow, Python, PyTorch, Deep Learning",Remote,5,Bachelor,Fresher
INT0071,Infosys,ML Engineer Intern,AI/ML,Kolkata,15000,6,"Model Deployment, Machine Learning",Onsite,5,Master,2-4 Years
INT0072,Wipro,ML Engineer Intern,AI/ML,Delhi,20000,6,"Machine Learning, TensorFlow, Model Deployment, Deep Learning",Hybrid,2,Master,1-2 Years
INT0073,Accenture,UI/UX Intern,UI/UX,Mumbai,12000,2,"UI/UX, Prototyping, HTML/CSS/JS",Onsite,8,Bachelor,Fresher
INT0074,Amazon,ML Engineer Intern,AI/ML,Kolkata,10000,4,"Machine Learning, Model Deployment, TensorFlow",Onsite,8,Bachelor,Fresher
INT0075,Amazon,ML Engineer Intern,AI/ML,Chennai,20000,3,"Machine Learning, PyTorch",Hybrid,8,Bachelor,Fresher
INT0076,Accenture,DevOps Intern,DevOps,Mumbai,12000,5,"CI/CD, DevOps, Kubernetes, Docker",Remote,2,Diploma,1-2 Years
INT0077,Microsoft,Cloud Intern,Cloud Computing,Pune,20000,1,"Kubernetes, GCP, Docker, Cloud",Onsite,5,Master,Fresher
INT0078,Infosys,Software Engineer Intern,Software Development,Delhi,8000,1,"Java, Data Structures, C++",Onsite,1,Bachelor,Fresher
INT0079,Infosys,UI/UX Intern,UI/UX,Pune,8000,1,"HTML/CSS/JS, Figma, Design Thinking",Remote,7,Bachelor,Fresher
INT0080,Oracle,ML Engineer Intern,AI/ML,Hyderabad,10000,4,"Deep Learning, TensorFlow, Model Deployment, PyTorch",Hybrid,9,Bachelor,1-2 Years
INT0081,TCS,Cybersecurity Intern,Cybersecurity,Pune,8000,4,"Python, Linux, Wireshark, Network Security",Hybrid,2,Bachelor,Fresher
INT0082,Infosys,Cybersecurity Intern,Cybersecurity,Remote,12000,1,"Wireshark, Python",Remote,1,Diploma,1-2 Years
INT0083,Wipro,Business Analyst Intern,Business Analytics,Delhi,8000,6,"SQL, Communication, Business Analytics",Onsite,1,Diploma,Fresher
INT0084,Amazon,Web Developer Intern,Web Development,Mumbai,12000,2,"Node.js, SQL",Onsite,9,Bachelor,1-2 Years
INT0085,Wipro,Cybersecurity Intern,Cybersecurity,Kolkata,12000,1,"Linux, Wireshark, Cybersecurity",Onsite,4,High School,1-2 Years
INT0086,Microsoft,Software Engineer Intern,Software Development,Kolkata,8000,4,"Python, C++, Algorithms",Onsite,5,Diploma,1-2 Years
INT0087,Google,AI Research Intern,AI/ML,Delhi,20000,2,"Python, PyTorch, Deep Learning",Remote,8,Bachelor,Fresher
INT0088,IBM,Data Analyst Intern,Data Science,Mumbai,8000,5,"Pandas, Python, Power BI",Onsite,8,Bachelor,Fresher
INT0089,Wipro,DevOps Intern,DevOps,Kolkata,15000,1,"Linux, Python, CI/CD, Kubernetes",Remote,10,High School,Fresher
INT0090,Microsoft,AI Research Intern,AI/ML,Bangalore,10000,6,"TensorFlow, Machine Learning, Deep Learning",Onsite,6,Bachelor,Fresher
INT0091,Amazon,ML Engineer Intern,AI/ML,Bangalore,20000,6,"Model Deployment, Machine Learning",Remote,1,Master,Fresher
INT0092,Oracle,Business Analyst Intern,Business Analytics,Mumbai,8000,5,"Excel, Power BI",Onsite,4,Diploma,Fresher
INT0093,Infosys,Data Analyst Intern,Data Science,Hyderabad,10000,2,"Statistics, SQL, Power BI",Onsite,1,Bachelor,Fresher
INT0094,Wipro,Business Analyst Intern,Business Analytics,Chennai,5000,2,"Excel, SQL, Business Analytics",Remote,9,Diploma,Fresher
INT0095,Google,UI/UX Intern,UI/UX,Delhi,5000,6,"UI/UX, User Research, Figma, Prototyping",Remote,9,Bachelor,2-4 Years
INT0096,TCS,ML Engineer Intern,AI/ML,Mumbai,20000,4,"TensorFlow, Python, Model Deployment",Onsite,2,Bachelor,Fresher
INT0097,IBM,Business Analyst Intern,Business Analytics,Chennai,10000,4,"Power BI, Communication, Business Analytics, SQL",Remote,7,Diploma,Fresher
INT0098,Wipro,AI Research Intern,AI/ML,Mumbai,15000,4,"TensorFlow, Machine Learning, NLP",Onsite,2,Bachelor,Fresher
INT0099,IBM,Web Developer Intern,Web Development,Hyderabad,5000,4,"Bootstrap, HTML/CSS/JS, REST APIs, SQL",Onsite,6,Bachelor,Fresher
INT0100,Wipro,UI/UX Intern,UI/UX,Bangalore,10000,6,"Design Thinking, UI/UX, User Research",Hybrid,7,High School,Fresher
INT0101,Infosys,Software Engineer Intern,Software Development,Mumbai,10000,1,"Algorithms, Java, Data Structures, Git",Onsite,9,Bachelor,Fresher
INT0102,TCS,DevOps Intern,DevOps,Bangalore,15000,6,"Python, Jenkins, Linux, DevOps",Remote,5,Bachelor,Fresher
INT0103,Accenture,Cloud Intern,Cloud Computing,Bangalore,20000,6,"Cloud, AWS, Kubernetes",Onsite,3,Bachelor,Fresher
INT0104,Oracle,DevOps Intern,DevOps,Chennai,12000,6,"Docker, CI/CD, Python",Onsite,10,Diploma,Fresher
INT0105,Accenture,Data Analyst Intern,Data Science,Pune,12000,5,"Python, Excel, Pandas, Tableau",Onsite,5,Master,Fresher
INT0106,Google,Software Engineer Intern,Software Development,Pune,15000,5,"Data Structures, Linux, Algorithms",Remote,1,Bachelor,Fresher
INT0107,Infosys,AI Research Intern,AI/ML,Kolkata,15000,3,"Machine Learning, NLP, Deep Learning",Onsite,8,Bachelor,Fresher
INT0108,Accenture,UI/UX Intern,UI/UX,Mumbai,5000,4,"Design Thinking, Prototyping, UI/UX, Figma",Onsite,2,Bachelor,Fresher
INT0109,Microsoft,Cybersecurity Intern,Cybersecurity,Remote,12000,2,"Python, Cybersecurity",Remote,10,Diploma,1-2 Years
INT0110,Amazon,DevOps Intern,DevOps,Delhi,15000,4,"CI/CD, Kubernetes",Remote,7,Diploma,Fresher
INT0111,Amazon,Software Engineer Intern,Software Development,Pune,12000,3,"Data Structures, Python, Algorithms, Java",Remote,3,Bachelor,Fresher
INT0112,Oracle,Business Analyst Intern,Business Analytics,Remote,8000,6,"Communication, Excel",Onsite,10,Bachelor,1-2 Years
INT0113,HCL,Cloud Intern,Cloud Computing,Bangalore,15000,4,"Azure, AWS, GCP, Cloud",Remote,5,Bachelor,Fresher
INT0114,Google,ML Engineer Intern,AI/ML,Kolkata,15000,1,"Python, Deep Learning",Remote,2,Bachelor,Fresher
INT0115,Wipro,ML Engineer Intern,AI/ML,Remote,15000,5,"Model Deployment, Machine Learning, Deep Learning, TensorFlow",Onsite,1,Bachelor,1-2 Years
INT0116,Accenture,Software Engineer Intern,Software Development,Hyderabad,15000,4,"Data Structures, Java, Python, Linux",Remote,10,Bachelor,1-2 Years
INT0117,TCS,DevOps Intern,DevOps,Chennai,15000,6,"Linux, Jenkins, DevOps",Onsite,6,Bachelor,Fresher
INT0118,TCS,Business Analyst Intern,Business Analytics,Hyderabad,8000,3,"Business Analytics, Excel",Onsite,7,Bachelor,1-2 Years
INT0119,Infosys,UI/UX Intern,UI/UX,Mumbai,5000,6,"Design Thinking, Prototyping, Figma",Remote,9,Bachelor,Fresher
INT0120,Oracle,Cloud Intern,Cloud Computing,Bangalore,10000,1,"AWS, Terraform, Kubernetes",Onsite,2,Bachelor,1-2 Years
INT0121,HCL,Web Developer Intern,Web Development,Mumbai,8000,6,"Bootstrap, React, REST APIs, HTML/CSS/JS",Onsite,7,Bachelor,Fresher
INT0122,HCL,Business Analyst Intern,Business Analytics,Pune,8000,3,"Communication, Requirements Gathering, SQL",Hybrid,8,Bachelor,1-2 Years
INT0123,Wipro,ML Engineer Intern,AI/ML,Delhi,10000,2,"TensorFlow, PyTorch, Model Deployment",Remote,3,Bachelor,Fresher
INT0124,Accenture,UI/UX Intern,UI/UX,Delhi,5000,3,"Design Thinking, HTML/CSS/JS",Onsite,3,Bachelor,Fresher
INT0125,Wipro,Software Engineer Intern,Software Development,Mumbai,12000,1,"Linux, Git",Onsite,7,Bachelor,2-4 Years
INT0126,HCL,AI Research Intern,AI/ML,Hyderabad,20000,6,"Deep Learning, Python",Onsite,3,Bachelor,1-2 Years
INT0127,TCS,Web Developer Intern,Web Development,Kolkata,5000,3,"Bootstrap, SQL, HTML/CSS/JS, REST APIs",Onsite,3,Bachelor,Fresher
INT0128,Amazon,Software Engineer Intern,Software Development,Bangalore,20000,4,"Java, Git",Onsite,8,Bachelor,Fresher
INT0129,IBM,Cybersecurity Intern,Cybersecurity,Mumbai,8000,5,"Cybersecurity, Penetration Testing, Linux",Onsite,2,Bachelor,Fresher
INT0130,Microsoft,UI/UX Intern,UI/UX,Mumbai,12000,3,"UI/UX, User Research, HTML/CSS/JS, Design Thinking",Onsite,1,Diploma,Fresher
INT0131,Microsoft,Business Analyst Intern,Business Analytics,Remote,10000,6,"Business Analytics, SQL, Excel, Power BI",Onsite,8,Bachelor,1-2 Years
INT0132,IBM,ML Engineer Intern,AI/ML,Delhi,10000,2,"Deep Learning, Machine Learning",Hybrid,6,Bachelor,2-4 Years
INT0133,Accenture,ML Engineer Intern,AI/ML,Delhi,15000,1,"Python, Machine Learning, Deep Learning",Hybrid,6,Bachelor,Fresher
INT0134,Microsoft,ML Engineer Intern,AI/ML,Delhi,20000,4,"Deep Learning, Machine Learning, TensorFlow",Onsite,9,Master,Fresher
INT0135,Amazon,DevOps Intern,DevOps,Delhi,12000,1,"Python, CI/CD, Jenkins, Docker",Onsite,5,Bachelor,Fresher
INT0136,IBM,ML Engineer Intern,AI/ML,Chennai,20000,4,"TensorFlow, Python, Deep Learning",Onsite,1,Bachelor,Fresher
INT0137,Google,Web Developer Intern,Web Development,Mumbai,12000,1,"React, REST APIs",Onsite,4,Bachelor,1-2 Years
INT0138,TCS,Business Analyst Intern,Business Analytics,Hyderabad,10000,3,"Communication, Requirements Gathering",Onsite,2,Bachelor,Fresher
INT0139,HCL,AI Research Intern,AI/ML,Chennai,15000,5,"Python, Machine Learning",Onsite,9,Bachelor,Fresher
INT0140,Wipro,AI Research Intern,AI/ML,Chennai,10000,1,"Deep Learning, TensorFlow, Machine Learning, Python",Onsite,8,Master,2-4 Years
INT0141,Infosys,Cloud Intern,Cloud Computing,Mumbai,15000,2,"Cloud, Docker, Kubernetes, Azure",Remote,3,Bachelor,Fresher
INT0142,TCS,Web Developer Intern,Web Development,Hyderabad,10000,5,"Bootstrap, HTML/CSS/JS",Remote,8,Bachelor,Fresher
INT0143,Wipro,DevOps Intern,DevOps,Chennai,12000,5,"Linux, Kubernetes, Jenkins, Python",Onsite,6,Bachelor,Fresher
INT0144,Amazon,Web Developer Intern,Web Development,Chennai,12000,5,"SQL, REST APIs, React, HTML/CSS/JS",Hybrid,1,Bachelor,Fresher
INT0145,IBM,Cloud Intern,Cloud Computing,Delhi,10000,3,"AWS, Azure, Docker, Kubernetes",Onsite,9,Bachelor,Fresher
INT0146,Google,Software Engineer Intern,Software Development,Mumbai,10000,6,"Data Structures, Java, Algorithms, Linux",Remote,10,Diploma,Fresher
INT0147,IBM,Software Engineer Intern,Software Development,Kolkata,12000,6,"Data Structures, Algorithms",Onsite,10,Bachelor,Fresher
INT0148,Infosys,Cybersecurity Intern,Cybersecurity,Hyderabad,12000,3,"Linux, Python, Network Security, Wireshark",Onsite,1,Bachelor,Fresher
INT0149,TCS,Cloud Intern,Cloud Computing,Chennai,15000,2,"AWS, Azure, Kubernetes, Docker",Remote,9,Bachelor,Fresher
INT0150,Amazon,ML Engineer Intern,AI/ML,Kolkata,10000,3,"Machine Learning, Python",Hybrid,10,Bachelor,1-2 Years
INT0151,IBM,Cloud Intern,Cloud Computing,Remote,15000,5,"Kubernetes, Azure, AWS, Docker",Onsite,5,Bachelor,1-2 Years
INT0152,Microsoft,ML Engineer Intern,AI/ML,Remote,15000,1,"Machine Learning, PyTorch",Onsite,8,Bachelor,Fresher
INT0153,IBM,DevOps Intern,DevOps,Bangalore,12000,4,"Docker, Linux",Onsite,7,Bachelor,Fresher
INT0154,Wipro,Cybersecurity Intern,Cybersecurity,Chennai,12000,5,"Python, Penetration Testing",Onsite,10,Bachelor,Fresher
INT0155,Amazon,Cloud Intern,Cloud Computing,Mumbai,20000,1,"Azure, AWS, Kubernetes, GCP",Onsite,3,Master,Fresher
INT0156,HCL,Business Analyst Intern,Business Analytics,Mumbai,12000,5,"SQL, Business Analytics, Power BI, Excel",Remote,5,Bachelor,Fresher
INT0157,Google,Business Analyst Intern,Business Analytics,Delhi,10000,6,"Requirements Gathering, Excel, Business Analytics",Onsite,7,Diploma,Fresher
INT0158,Google,Business Analyst Intern,Business Analytics,Kolkata,5000,5,"Business Analytics, Power BI, SQL",Onsite,9,Bachelor,Fresher
INT0159,HCL,Business Analyst Intern,Business Analytics,Kolkata,10000,4,"Excel, SQL, Communication, Power BI",Onsite,4,Bachelor,Fresher
INT0160,Wipro,Data Analyst Intern,Data Science,Remote,12000,5,"SQL, Tableau, Statistics, Excel",Onsite,3,Master,Fresher
INT0161,HCL,Cybersecurity Intern,Cybersecurity,Delhi,15000,3,"Python, Network Security, Penetration Testing, Wireshark",Onsite,5,Diploma,Fresher
INT0162,Wipro,Cloud Intern,Cloud Computing,Kolkata,15000,1,"Azure, Docker, Terraform",Remote,9,Master,Fresher
INT0163,IBM,Web Developer Intern,Web Development,Pune,10000,4,"HTML/CSS/JS, Node.js, SQL",Remote,8,Bachelor,Fresher
INT0164,Accenture,Cybersecurity Intern,Cybersecurity,Pune,15000,5,"Cybersecurity, Penetration Testing",Onsite,1,Bachelor,Fresher
INT0165,TCS,Cloud Intern,Cloud Computing,Remote,20000,2,"GCP, Cloud, AWS, Kubernetes",Onsite,8,Bachelor,Fresher
INT0166,Google,Cloud Intern,Cloud Computing,Hyderabad,20000,5,"Kubernetes, Cloud, Terraform",Onsite,1,Bachelor,1-2 Years
INT0167,HCL,DevOps Intern,DevOps,Chennai,8000,1,"CI/CD, Linux, Docker",Onsite,10,High School,Fresher
INT0168,Wipro,UI/UX Intern,UI/UX,Delhi,8000,1,"User Research, Figma, Design Thinking, HTML/CSS/JS",Onsite,8,Diploma,Fresher
INT0169,Amazon,Cybersecurity Intern,Cybersecurity,Mumbai,15000,4,"Wireshark, Network Security, Penetration Testing, Linux",Remote,9,Bachelor,Fresher
INT0170,Google,Web Developer Intern,Web Development,Mumbai,10000,4,"Node.js, React, HTML/CSS/JS",Onsite,5,Bachelor,Fresher
INT0171,TCS,Cybersecurity Intern,Cybersecurity,Delhi,8000,4,"Linux, Network Security, Cybersecurity, Wireshark",Onsite,7,Bachelor,Fresher
INT0172,HCL,Cloud Intern,Cloud Computing,Mumbai,10000,4,"AWS, Terraform, Kubernetes, GCP",Remote,10,Bachelor,Fresher
INT0173,IBM,UI/UX Intern,UI/UX,Chennai,12000,5,"Figma, Design Thinking, UI/UX, Prototyping",Remote,2,Bachelor,Fresher
INT0174,Google,AI Research Intern,AI/ML,Remote,20000,4,"PyTorch, Machine Learning, NLP, TensorFlow",Onsite,4,Bachelor,Fresher
INT0175,Google,ML Engineer Intern,AI/ML,Delhi,15000,5,"PyTorch, TensorFlow",Onsite,8,Master,Fresher
INT0176,TCS,AI Research Intern,AI/ML,Chennai,20000,1,"Python, NLP, TensorFlow, Machine Learning",Remote,1,Diploma,Fresher
INT0177,Accenture,DevOps Intern,DevOps,Mumbai,15000,6,"Python, CI/CD",Remote,7,High School,Fresher
INT0178,IBM,DevOps Intern,DevOps,Chennai,15000,2,"Linux, Python",Remote,6,Bachelor,Fresher
INT0179,Wipro,Web Developer Intern,Web Development,Kolkata,12000,6,"React, HTML/CSS/JS, REST APIs, SQL",Remote,7,Diploma,Fresher
INT0180,Google,Web Developer Intern,Web Development,Pune,12000,5,"React, HTML/CSS/JS, REST APIs",Remote,1,Bachelor,Fresher
INT0181,Amazon,ML Engineer Intern,AI/ML,Pune,10000,4,"Model Deployment, Python, Machine Learning, Deep Learning",Onsite,9,Master,Fresher
INT0182,IBM,UI/UX Intern,UI/UX,Pune,10000,2,"Figma, HTML/CSS/JS, Prototyping",Onsite,3,Bachelor,Fresher
INT0183,TCS,Business Analyst Intern,Business Analytics,Mumbai,10000,6,"SQL, Requirements Gathering, Power BI, Excel",Remote,9,Bachelor,Fresher
INT0184,IBM,DevOps Intern,DevOps,Hyderabad,12000,2,"Python, Jenkins",Remote,5,Diploma,1-2 Years
INT0185,Microsoft,DevOps Intern,DevOps,Chennai,12000,2,"Jenkins, Python, CI/CD",Onsite,6,High School,1-2 Years
INT0186,Wipro,UI/UX Intern,UI/UX,Pune,5000,1,"Figma, UI/UX, Prototyping, Design Thinking",Onsite,10,Bachelor,1-2 Years
INT0187,Accenture,Cybersecurity Intern,Cybersecurity,Pune,15000,1,"Network Security, Wireshark",Remote,8,Bachelor,Fresher
INT0188,Microsoft,AI Research Intern,AI/ML,Mumbai,20000,6,"Deep Learning, NLP, TensorFlow, Machine Learning",Onsite,5,Bachelor,Fresher
INT0189,Oracle,ML Engineer Intern,AI/ML,Hyderabad,15000,1,"Machine Learning, Deep Learning, PyTorch",Remote,4,Bachelor,Fresher
INT0190,Wipro,Business Analyst Intern,Business Analytics,Remote,10000,2,"Requirements Gathering, Business Analytics, SQL, Excel",Onsite,4,Bachelor,1-2 Years
INT0191,IBM,Cybersecurity Intern,Cybersecurity,Hyderabad,8000,6,"Wireshark, Python, Penetration Testing",Remote,3,Diploma,Fresher
INT0192,IBM,Data Analyst Intern,Data Science,Chennai,12000,2,"Python, Statistics, Power BI, Tableau",Remote,4,Master,Fresher
INT0193,TCS,ML Engineer Intern,AI/ML,Kolkata,20000,4,"Python, PyTorch, TensorFlow",Onsite,9,Bachelor,Fresher
INT0194,TCS,UI/UX Intern,UI/UX,Hyderabad,8000,1,"UI/UX, HTML/CSS/JS, User Research",Hybrid,9,Bachelor,Fresher
INT0195,Microsoft,Cloud Intern,Cloud Computing,Pune,15000,4,"Terraform, GCP, Cloud",Onsite,4,Bachelor,1-2 Years
